Tgl,Nama_Obat,Golongan,Pabrik,No_Batch,Dengan_Resep,Tgl_ED,Promo,Obat_Masuk,Obat_Keluar,Harga,Stok_Obat
29/11/2019,MERTIGO,Obat Keras,Dexa,,Ya,,Tidak ada,-,10,56000,186
30/11/2019,MERTIGO,Obat Keras,Dexa,,Ya,,Tidak ada,-,26,56000,160
23/12/2019,MERTIGO,Obat Keras,Dexa,,Ya,,Tidak ada,-,65,56000,95
01/01/2020,OMEPRAZOLE,Obat Bebas,Novel ,,Ya,,Tidak ada,-,10,5000,39
02/01/2020,OMEPRAZOLE,Obat Bebas,Novel ,,Ya,,Tidak ada,90,10,5000,119
02/01/2020,MERTIGO,Obat Keras,Dexa,,Ya,,Tidak ada,-,10,56000,85
04/01/2020,MERTIGO,Obat Keras,Dexa,,Ya,,Tidak ada,100,-,56000,-
07/01/2020,MERTIGO,Obat Keras,Dexa,,Ya,,Tidak ada,-,20,56000,105
16/01/2020,BUSCOPAN,Obat Keras,Sanofi,,Ya,,Tidak ada,-,-,50000,21
17/01/2020,MERTIGO,Obat Keras,Dexa,,Ya,,Tidak ada,-,5,56000,100
18/01/2020,MERTIGO,Obat Keras,Dexa,,Ya,,Tidak ada,-,10,56000,90
20/01/2020,MERTIGO,Obat Keras,Dexa,,Ya,,Tidak ada,-,20,56000,70
24/01/2020,MERTIGO,Obat Keras,Dexa,,Ya,,Tidak ada,-,10,56000,60
25/01/2020,BUSCOPAN,Obat Keras,Sanofi,,Ya,,Tidak ada,-,8,50000,16
26/01/2020,MERTIGO,Obat Keras,Dexa,,Ya,,Tidak ada,-,10,56000,50
05/02/2020,BUSCOPAN,Obat Keras,Sanofi,,Ya,,Tidak ada,-,16,50000,0
06/02/2020,BUSCOPAN,Obat Keras,Sanofi,,Ya,,Tidak ada,-,-,50000,-
09/02/2020,MERTIGO,Obat Keras,Dexa,,Ya,,Tidak ada,50,-,56000,100
23/02/2020,MERTIGO,Obat Keras,Dexa,,Ya,,Tidak ada,-,10,56000,90
25/02/2020,MERTIGO,Obat Keras,Dexa,,Ya,,Tidak ada,-,6,56000,84
08/03/2020,MERTIGO,Obat Keras,Dexa,,Ya,,Tidak ada,-,39,56000,51
09/03/2020,MERTIGO,Obat Keras,Dexa,,Ya,,Tidak ada,-,10,56000,41
12/03/2020,MERTIGO,Obat Keras,Dexa,,Ya,,Tidak ada,200,29,56000,212
20/03/2020,BUSCOPAN,Obat Keras,Sanofi,,Ya,,Tidak ada,-,-,50000,19
21/03/2020,MERTIGO,Obat Keras,Dexa,,Ya,,Tidak ada,-,11,56000,201
25/04/2020,BUSCOPAN,Obat Keras,Sanofi,,Ya,,Tidak ada,-,10,50000,9
27/04/2020,AMBROXOL ,Obat Bebas,Phapros,,Tidak,,Tidak ada,-,20,5000,330
27/04/2020,BUSCOPAN,Obat Keras,Sanofi,,Ya,,Tidak ada,-,9,50000,-
03/06/2020,MERTIGO,Obat Keras,Dexa,,Ya,,Tidak ada,100,30,56000,271
04/06/2020,AMBROXOL ,Obat Bebas,Phapros,,Tidak,,Tidak ada,-,40,5000,290
06/06/2020,MERTIGO,Obat Keras,Dexa,,Ya,,Tidak ada,-,10,56000,261
07/06/2020,AMBROXOL ,Obat Bebas,Phapros,,Tidak,,Tidak ada,-,30,5000,260
12/06/2020,MERTIGO,Obat Keras,Dexa,,Ya,,Tidak ada,-,30,56000,231
17/06/2020,MERTIGO,Obat Keras,Dexa,,Ya,,Tidak ada,-,20,56000,211
10/07/2020,AMBROXOL ,Obat Bebas,Phapros,,Tidak,,Tidak ada,-,30,5000,230
10/07/2020,KALNEX,Obat Bebas Terbatas,Kalbe,,Ya,"5,2023",Tidak ada,100,-,50000,100
12/07/2020,MERTIGO,Obat Keras,Dexa,,Ya,,Tidak ada,-,30,56000,161
17/07/2020,KALNEX,Obat Bebas Terbatas,Kalbe,,Ya,,Tidak ada,-,10,50000,100
20/07/2020,MERTIGO,Obat Keras,Dexa,,Ya,,Tidak ada,-,10,56000,151
21/07/2020,KALNEX,Obat Bebas Terbatas,Kalbe,,Ya,,Tidak ada,-,10,50000,80
25/07/2020,KALNEX,Obat Bebas Terbatas,Kalbe,,Ya,,Tidak ada,-,9,50000,71
28/07/2020,MERTIGO,Obat Keras,Dexa,,Ya,,Tidak ada,-,20,56000,191
29/07/2020,MERTIGO,Obat Keras,Dexa,,Ya,,Tidak ada,-,10,56000,141
31/07/2020,KALNEX,Obat Bebas Terbatas,Kalbe,,Ya,,Tidak ada,-,15,50000,56
07/08/2020,KALNEX,Obat Bebas Terbatas,Kalbe,,Ya,,Tidak ada,-,6,50000,40
12/08/2020,KALNEX,Obat Bebas Terbatas,Kalbe,,Ya,,Tidak ada,-,21,50000,16
13/08/2020,MERTIGO,Obat Keras,Dexa,,Ya,,Tidak ada,-,22,56000,119
13/08/2020,KALNEX,Obat Bebas Terbatas,Kalbe,,Ya,,Tidak ada,100,15,50000,101
15/08/2020,AMBROXOL ,Obat Bebas,Phapros,,Tidak,,Tidak ada,-,100,5000,180
18/08/2020,MERTIGO,Obat Keras,Dexa,,Ya,,Tidak ada,100,20,56000,99
18/08/2020,KALNEX,Obat Bebas Terbatas,Kalbe,,Ya,,Tidak ada,-,10,50000,71
20/08/2020,KALNEX,Obat Bebas Terbatas,Kalbe,,Ya,,Tidak ada,-,6,50000,85
21/08/2020,KALNEX,Obat Bebas Terbatas,Kalbe,,Ya,,Tidak ada,-,10,50000,75
06/09/2020,KALNEX,Obat Bebas Terbatas,Kalbe,,Ya,,Tidak ada,-,15,50000,60
07/09/2020,KALNEX,Obat Bebas Terbatas,Kalbe,,Ya,,Tidak ada,100,30,50000,130
12/09/2020,MERTIGO,Obat Keras,Dexa,,Ya,,Tidak ada,-,72,56000,271
14/09/2020,MERTIGO,Obat Keras,Dexa,,Ya,,Tidak ada,-,10,56000,261
17/09/2020,AMBROXOL ,Obat Bebas,Phapros,,Tidak,,Tidak ada,-,30,5000,150
18/09/2020,KALNEX,Obat Bebas Terbatas,Kalbe,,Ya,,Tidak ada,-,25,50000,105
20/09/2020,MERTIGO,Obat Keras,Dexa,,Ya,,Tidak ada,-,30,56000,231
